NAME                                                                                                                  VERSION                                    TYPE         
github.com/google/gnostic                                                                                             v0.5.7-v3refs                              go-module     
github.com/google/go-cmp                                                                                              v0.4.0                                     go-module     
github.com/google/go-cmp                                                                                              v0.5.6                                     go-module     
github.com/google/go-cmp                                                                                              v0.5.7                                     go-module     
github.com/google/go-containerregistry                                                                                v0.8.1-0.20220209165246-a44adc326839       go-module     
github.com/google/gofuzz                                                                                              v1.1.0                                     go-module     
github.com/google/gofuzz                                                                                              v1.2.0                                     go-module     
github.com/google/ko                                                                                                  v0.11.2                                    go-module     
github.com/google/pprof                                                                                               v0.0.0-20210804190019-f964ff605595         go-module     
github.com/google/shlex                                                                                               v0.0.0-20191202100458-e7afc7fbc510         go-module     
github.com/google/uuid                                                                                                v1.1.1                                     go-module     
github.com/google/uuid                                                                                                v1.3.0                                     go-module     
github.com/googleapis/gax-go/v2                                                                                       v2.0.5                                     go-module     
github.com/googleapis/gax-go/v2                                                                                       v2.1.1                                     go-module     
github.com/googleapis/gnostic                                                                                         v0.3.1                                     go-module     
github.com/googleapis/gnostic                                                                                         v0.4.1                                     go-module     
github.com/googleapis/gnostic                                                                                         v0.5.5                                     go-module     
github.com/gophercloud/gophercloud                                                                                    v0.1.0                                     go-module     
github.com/gorilla/mux                                                                                                v1.8.0                                     go-module     
github.com/gregjones/httpcache                                                                                        v0.0.0-20180305231024-9cad4c3443a7         go-module     
github.com/grpc-ecosystem/grpc-gateway/v2                                                                             v2.5.0                                     go-module     
github.com/hashicorp/errwrap                                                                                          v1.0.0                                     go-module     
github.com/hashicorp/go-cleanhttp                                                                                     v0.5.1                                     go-module     
github.com/hashicorp/go-getter                                                                                        v1.4.0                                     go-module     
github.com/hashicorp/go-hclog                                                                                         v0.9.2                                     go-module     
github.com/hashicorp/go-multierror                                                                                    v1.0.0                                     go-module     
github.com/hashicorp/go-plugin                                                                                        v1.0.1                                     go-module     
github.com/hashicorp/go-safetemp                                                                                      v1.0.0                                     go-module     
github.com/hashicorp/go-uuid                                                                                          v1.0.1                                     go-module     
github.com/hashicorp/go-version                                                                                       v1.2.0                                     go-module     
github.com/hashicorp/golang-lru                                                                                       v0.5.4                                     go-module     
github.com/hashicorp/hcl                                                                                              v1.0.0                                     go-module     
github.com/hashicorp/hcl/v2                                                                                           v2.0.0                                     go-module     
github.com/hashicorp/logutils                                                                                         v1.0.0                                     go-module     
github.com/hashicorp/terraform-config-inspect                                                                         v0.0.0-20191115094559-17f92b0546e8         go-module     
github.com/hashicorp/terraform-plugin-sdk                                                                             v1.4.0                                     go-module     
github.com/hashicorp/terraform-svchost                                                                                v0.0.0-20191011084731-65d371908596         go-module     
github.com/hashicorp/yamux                                                                                            v0.0.0-20181012175058-2f1d1f20f75d         go-module     
github.com/heroku/color                                                                                               v0.0.6                                     go-module     
github.com/huandu/xstrings                                                                                            v1.3.1                                     go-module     
github.com/imdario/mergo                                                                                              v0.3.12                                    go-module     
github.com/imdario/mergo                                                                                              v0.3.5                                     go-module     
github.com/imdario/mergo                                                                                              v0.3.8                                     go-module     
github.com/jbenet/go-context                                                                                          v0.0.0-20150711004518-d14ea06fba99         go-module     
github.com/jhump/protoreflect                                                                                         v1.12.0                                    go-module     
github.com/jmespath/go-jmespath                                                                                       v0.0.0-20180206201540-c2b33e8439af         go-module     
github.com/jmespath/go-jmespath                                                                                       v0.4.0                                     go-module     
github.com/jonboulle/clockwork                                                                                        v0.2.2                                     go-module     
github.com/josharian/intern                                                                                           v1.0.0                                     go-module     
github.com/json-iterator/go                                                                                           v1.1.11                                    go-module     
github.com/json-iterator/go                                                                                           v1.1.12                                    go-module     
github.com/json-iterator/go                                                                                           v1.1.9                                     go-module     
github.com/karrick/godirwalk                                                                                          v1.16.1                                    go-module     
github.com/kballard/go-shellquote                                                                                     v0.0.0-20180428030007-95032a82bc51         go-module     
github.com/kevinburke/ssh_config                                                                                      v0.0.0-20201106050909-4977a11b4351         go-module     
github.com/klauspost/compress                                                                                         v1.15.1                                    go-module     
github.com/kr/pretty                                                                                                  v0.1.0                                     go-module     
github.com/kr/text                                                                                                    v0.1.0                                     go-module     
github.com/krishicks/yaml-patch                                                                                       v0.0.10                                    go-module     
github.com/kylelemons/godebug                                                                                         v1.1.0                                     go-module     
github.com/liggitt/tabwriter                                                                                          v0.0.0-20181228230101-89fcab3d43de         go-module     
github.com/lucasb-eyer/go-colorful                                                                                    v1.2.0                                     go-module     
github.com/magiconair/properties                                                                                      v1.8.5                                     go-module     
github.com/mailru/easyjson                                                                                            v0.7.0                                     go-module     
github.com/mailru/easyjson                                                                                            v0.7.6                                     go-module     
github.com/mailru/easyjson                                                                                            v0.7.7                                     go-module     
github.com/mattn/go-colorable                                                                                         v0.1.12                                    go-module     
github.com/mattn/go-colorable                                                                                         v0.1.2                                     go-module     
github.com/mattn/go-isatty                                                                                            v0.0.12                                    go-module     
github.com/mattn/go-isatty                                                                                            v0.0.14                                    go-module     
github.com/mattn/go-runewidth                                                                                         v0.0.13                                    go-module     
github.com/mattn/go-runewidth                                                                                         v0.0.7                                     go-module     
github.com/matttproud/golang_protobuf_extensions                                                                      v1.0.2-0.20181231171920-c182affec369       go-module     
github.com/mgutz/ansi                                                                                                 v0.0.0-20170206155736-9520e82c474b         go-module     
github.com/mholt/archiver                                                                                             v3.1.1+incompatible                        go-module     
github.com/mitchellh/cli                                                                                              v1.0.0                                     go-module     
github.com/mitchellh/colorstring                                                                                      v0.0.0-20190213212951-d06e56a500db         go-module     
github.com/mitchellh/copystructure                                                                                    v1.0.0                                     go-module     
github.com/mitchellh/go-homedir                                                                                       v1.1.0                                     go-module     
github.com/mitchellh/go-testing-interface                                                                             v1.0.0                                     go-module     
github.com/mitchellh/go-wordwrap                                                                                      v1.0.0                                     go-module     
github.com/mitchellh/hashstructure                                                                                    v1.0.0                                     go-module     
github.com/mitchellh/ioprogress                                                                                       v0.0.0-20180201004757-6a23b12fa88e         go-module     
github.com/mitchellh/mapstructure                                                                                     v1.1.2                                     go-module     
github.com/mitchellh/mapstructure                                                                                     v1.4.3                                     go-module     
github.com/mitchellh/reflectwalk                                                                                      v1.0.1                                     go-module     
github.com/moby/buildkit                                                                                              v0.8.0                                     go-module     
github.com/moby/locker                                                                                                v1.0.1                                     go-module     
github.com/moby/spdystream                                                                                            v0.2.0                                     go-module     
github.com/moby/sys/mount                                                                                             v0.2.0                                     go-module     
github.com/moby/sys/mountinfo                                                                                         v0.4.1                                     go-module     
github.com/moby/term                                                                                                  v0.0.0-20210610120745-9d4ed1856297         go-module     
github.com/moby/term                                                                                                  v0.0.0-20210619224110-3f7ff695adc6         go-module     
github.com/modern-go/concurrent                                                                                       v0.0.0-20180306012644-bacd9c7ef1dd         go-module     
github.com/modern-go/reflect2                                                                                         v1.0.1                                     go-module     
github.com/modern-go/reflect2                                                                                         v1.0.2                                     go-module     
github.com/monochromegane/go-gitignore                                                                                v0.0.0-20200626010858-205db1a8cc00         go-module     
github.com/morikuni/aec                                                                                               v1.0.0                                     go-module     
github.com/munnerz/goautoneg                                                                                          v0.0.0-20191010083416-a7dc8b61c822         go-module     
github.com/natefinch/lumberjack                                                                                       v2.0.0+incompatible                        go-module     
github.com/nwaples/rardecode                                                                                          v1.0.0                                     go-module     
github.com/oklog/run                                                                                                  v1.0.0                                     go-module     
github.com/olekukonko/tablewriter                                                                                     v0.0.4                                     go-module     
github.com/opencontainers/go-digest                                                                                   v1.0.0                                     go-module     
github.com/opencontainers/go-digest                                                                                   v1.0.0-rc1                                 go-module     
github.com/opencontainers/image-spec                                                                                  v1.0.2-0.20210730191737-8e42a01fb1b7       go-module     
github.com/opencontainers/runc                                                                                        v1.0.2                                     go-module     
github.com/opencontainers/selinux                                                                                     v1.8.2                                     go-module     
github.com/otiai10/copy                                                                                               v1.6.0                                     go-module     
github.com/otiai10/copy                                                                                               v1.7.0                                     go-module     
github.com/pelletier/go-toml                                                                                          v1.9.4                                     go-module     
github.com/peterbourgon/diskv                                                                                         v2.0.1+incompatible                        go-module     
github.com/pierrec/lz4                                                                                                v2.2.7+incompatible                        go-module     
github.com/pkg/browser                                                                                                v0.0.0-20180916011732-0a3d74bf9ce4         go-module     
github.com/pkg/errors                                                                                                 v0.9.1                                     go-module     
github.com/pmezard/go-difflib                                                                                         v1.0.0                                     go-module     
github.com/posener/complete                                                                                           v1.2.1                                     go-module     
github.com/posener/complete/v2                                                                                        v2.0.1-alpha.12                            go-module     
github.com/posener/script                                                                                             v1.0.4                                     go-module     
github.com/prometheus/client_golang                                                                                   v1.11.0                                    go-module     
github.com/prometheus/client_model                                                                                    v0.2.0                                     go-module     
github.com/prometheus/common                                                                                          v0.31.1                                    go-module     
github.com/prometheus/procfs                                                                                          v0.7.3                                     go-module     
github.com/rakyll/statik                                                                                              v0.1.7                                     go-module     
github.com/rivo/tview                                                                                                 v0.0.0-20210624165335-29d673af0ce2         go-module     
github.com/rivo/uniseg                                                                                                v0.2.0                                     go-module     
github.com/rjeczalik/notify                                                                                           v0.9.3-0.20201210012515-e2a77dcc14cf       go-module     
github.com/russross/blackfriday                                                                                       v1.5.2                                     go-module     
github.com/russross/blackfriday/v2                                                                                    v2.0.1                                     go-module     
github.com/russross/blackfriday/v2                                                                                    v2.1.0                                     go-module     
github.com/sabhiram/go-gitignore                                                                                      v0.0.0-20201211074657-223ce5d391b0         go-module     
github.com/segmentio/encoding                                                                                         v0.2.7                                     go-module     
github.com/segmentio/textio                                                                                           v1.2.0                                     go-module     
github.com/sergi/go-diff                                                                                              v1.1.0                                     go-module     
github.com/sergi/go-diff                                                                                              v1.2.0                                     go-module     
github.com/shurcooL/sanitized_anchor_name                                                                             v1.0.0                                     go-module     
github.com/sigstore/cosign                                                                                            v1.3.2-0.20211120003522-90e2dcfe7b92       go-module     
github.com/sigstore/sigstore                                                                                          v1.0.2-0.20211115214857-534e133ebf9d       go-module     
github.com/sirupsen/logrus                                                                                            v1.8.1                                     go-module     
github.com/spf13/afero                                                                                                v1.2.2                                     go-module     
github.com/spf13/afero                                                                                                v1.6.0                                     go-module     
github.com/spf13/cast                                                                                                 v1.3.1                                     go-module     
github.com/spf13/cast                                                                                                 v1.4.1                                     go-module     
github.com/spf13/cobra                                                                                                v1.0.0                                     go-module     
github.com/spf13/cobra                                                                                                v1.2.1                                     go-module     
github.com/spf13/cobra                                                                                                v1.4.0                                     go-module     
github.com/spf13/jwalterweatherman                                                                                    v1.1.0                                     go-module     
github.com/spf13/pflag                                                                                                v1.0.5                                     go-module     
github.com/spf13/viper                                                                                                v1.10.1                                    go-module     
github.com/spyzhov/ajson                                                                                              v0.4.2                                     go-module     
github.com/src-d/gcfg                                                                                                 v1.4.0                                     go-module     
github.com/stoewer/go-strcase                                                                                         v1.0.2                                     go-module     
github.com/stretchr/testify                                                                                           v1.7.0                                     go-module     
github.com/stretchr/testify                                                                                           v1.7.1                                     go-module     
github.com/subosito/gotenv                                                                                            v1.2.0                                     go-module     
github.com/tektoncd/pipeline                                                                                          v0.5.1-0.20190731183258-9d7e37e85bf8       go-module     
github.com/theupdateframework/go-tuf                                                                                  v0.0.0-20210722233521-90e262754396         go-module     
github.com/ulikunitz/xz                                                                                               v0.5.6                                     go-module     
github.com/vbatts/tar-split                                                                                           v0.11.2                                    go-module     
github.com/vmihailenco/msgpack                                                                                        v4.0.4+incompatible                        go-module     
github.com/xanzy/ssh-agent                                                                                            v0.3.0                                     go-module     
github.com/xeipuuv/gojsonpointer                                                                                      v0.0.0-20190905194746-02993c407bfb         go-module     
github.com/xeipuuv/gojsonreference                                                                                    v0.0.0-20180127040603-bd5ef7bd5415         go-module     
github.com/xeipuuv/gojsonschema                                                                                       v1.1.0                                     go-module     
github.com/xi2/xz                                                                                                     v0.0.0-20171230120015-48954b6210f8         go-module     
github.com/xlab/treeprint                                                                                             v0.0.0-20181112141820-a009c3971eca         go-module     
github.com/xlab/treeprint                                                                                             v1.1.0                                     go-module     
github.com/zclconf/go-cty                                                                                             v1.4.0                                     go-module     
github.com/zclconf/go-cty-yaml                                                                                        v1.0.1                                     go-module     
glib-networking                                                                                                       2.64.2-1ubuntu0.1                          deb           
glib-networking-common                                                                                                2.64.2-1ubuntu0.1                          deb           
glib-networking-services                                                                                              2.64.2-1ubuntu0.1                          deb           
gnupg                                                                                                                 2.2.19-3ubuntu2.1                          deb           
gnupg-l10n                                                                                                            2.2.19-3ubuntu2.1                          deb           
gnupg-utils                                                                                                           2.2.19-3ubuntu2.1                          deb           
go-app-stager                                                                                                         (devel)                                    go-module     
go.lsp.dev/jsonrpc2                                                                                                   v0.9.0                                     go-module     
go.lsp.dev/pkg                                                                                                        v0.0.0-20210323044036-f7deec69b52e         go-module     
go.lsp.dev/protocol                                                                                                   v0.11.2                                    go-module     
go.lsp.dev/uri                                                                                                        v0.3.0                                     go-module     
go.opencensus.io                                                                                                      v0.22.2                                    go-module     
go.opencensus.io                                                                                                      v0.23.0                                    go-module     
go.opentelemetry.io/otel                                                                                              v0.20.0                                    go-module     
go.opentelemetry.io/otel/exporters/stdout                                                                             v0.20.0                                    go-module     
go.opentelemetry.io/otel/exporters/trace/jaeger                                                                       v0.20.0                                    go-module     
go.opentelemetry.io/otel/metric                                                                                       v0.20.0                                    go-module     
go.opentelemetry.io/otel/sdk                                                                                          v0.20.0                                    go-module     
go.opentelemetry.io/otel/sdk/export/metric                                                                            v0.20.0                                    go-module     
go.opentelemetry.io/otel/sdk/metric                                                                                   v0.20.0                                    go-module     
go.opentelemetry.io/otel/trace                                                                                        v0.20.0                                    go-module     
go.starlark.net                                                                                                       v0.0.0-20200306205701-8dd3e2ee1dd5         go-module     
go.uber.org/atomic                                                                                                    v1.4.0                                     go-module     
go.uber.org/atomic                                                                                                    v1.9.0                                     go-module     
go.uber.org/automaxprocs                                                                                              v1.4.1-0.20220314153950-975e177ad84f       go-module     
go.uber.org/multierr                                                                                                  v1.1.0                                     go-module     
go.uber.org/multierr                                                                                                  v1.7.0                                     go-module     
go.uber.org/zap                                                                                                       v1.10.0                                    go-module     
go.uber.org/zap                                                                                                       v1.19.1                                    go-module     
golang.org/x/crypto                                                                                                   v0.0.0-20210220033148-5ea612d1eb83         go-module     
golang.org/x/crypto                                                                                                   v0.0.0-20220112180741-5e0467b6c7ce         go-module     
golang.org/x/crypto                                                                                                   v0.0.0-20220214200702-86341886e292         go-module     
golang.org/x/crypto                                                                                                   v0.0.0-20220331220935-ae2d96664a29         go-module     
golang.org/x/mod                                                                                                      v0.5.1                                     go-module     
golang.org/x/mod                                                                                                      v0.6.0-dev.0.20220106191415-9b9b3d81d5e3   go-module     
golang.org/x/net                                                                                                      v0.0.0-20201110031124-69a78807bb2b         go-module     
golang.org/x/net                                                                                                      v0.0.0-20210503060351-7fd8e65b6420         go-module     
golang.org/x/net                                                                                                      v0.0.0-20210520170846-37e1c6afe023         go-module     
golang.org/x/net                                                                                                      v0.0.0-20220127074510-2fabfed7e28f         go-module     
golang.org/x/net                                                                                                      v0.0.0-20220127200216-cd36cc0744dd         go-module     
golang.org/x/net                                                                                                      v0.0.0-20220225172249-27dd8689420f         go-module     
golang.org/x/oauth2                                                                                                   v0.0.0-20190604053449-0f29369cfe45         go-module     
golang.org/x/oauth2                                                                                                   v0.0.0-20210402161424-2e8d93401602         go-module     
golang.org/x/oauth2                                                                                                   v0.0.0-20211104180415-d3ed0bb246c8         go-module     
golang.org/x/oauth2                                                                                                   v0.0.0-20220309155454-6242fa91716a         go-module     
golang.org/x/sync                                                                                                     v0.0.0-20210220032951-036812b2e83c         go-module     
golang.org/x/sys                                                                                                      v0.0.0-20210817190340-bfb29a6856f2         go-module     
golang.org/x/sys                                                                                                      v0.0.0-20211025201205-69cdffdb9359         go-module     
golang.org/x/sys                                                                                                      v0.0.0-20220209214540-3681064d5158         go-module     
golang.org/x/sys                                                                                                      v0.0.0-20220310020820-b874c991c1a5         go-module     
golang.org/x/sys                                                                                                      v0.0.0-20220405052023-b1e9470b6e64         go-module     
golang.org/x/term                                                                                                     v0.0.0-20210220032956-6a3ed077a48d         go-module     
golang.org/x/term                                                                                                     v0.0.0-20210927222741-03fcf44c2211         go-module     
golang.org/x/text                                                                                                     v0.3.4                                     go-module     
golang.org/x/text                                                                                                     v0.3.6                                     go-module     
golang.org/x/text                                                                                                     v0.3.7                                     go-module     
golang.org/x/time                                                                                                     v0.0.0-20190921001708-c4c64cad1fd0         go-module     
golang.org/x/time                                                                                                     v0.0.0-20210723032227-1f47c861a9ac         go-module     
golang.org/x/time                                                                                                     v0.0.0-20220210224613-90d013bbcef8         go-module     
golang.org/x/tools                                                                                                    v0.1.10                                    go-module     
golang.org/x/xerrors                                                                                                  v0.0.0-20200804184101-5ec99f83aff1         go-module     
gomodules.xyz/jsonpatch/v2                                                                                            v2.2.0                                     go-module     
google-auth-library-credentials                                                                                       0.22.2                                     java-archive  
google-auth-library-oauth2-http                                                                                       0.22.2                                     java-archive  
google-http-client                                                                                                    1.38.0                                     java-archive  
google-http-client-jackson2                                                                                           1.38.0                                     java-archive  
google.golang.org/api                                                                                                 v0.22.0                                    go-module     
google.golang.org/api                                                                                                 v0.63.0                                    go-module     
google.golang.org/api                                                                                                 v0.71.0                                    go-module     
google.golang.org/genproto                                                                                            v0.0.0-20191223191004-3caeed10a8bf         go-module     
google.golang.org/genproto                                                                                            v0.0.0-20211027162914-98a5263abeca         go-module     
google.golang.org/genproto                                                                                            v0.0.0-20220126215142-9970aeb2e350         go-module     
google.golang.org/genproto                                                                                            v0.0.0-20220304144024-325a89244dc8         go-module     
google.golang.org/grpc                                                                                                v1.28.1                                    go-module     
google.golang.org/grpc                                                                                                v1.40.0                                    go-module     
google.golang.org/grpc                                                                                                v1.44.0                                    go-module     
google.golang.org/grpc                                                                                                v1.45.0                                    go-module     
google.golang.org/protobuf                                                                                            v1.26.0                                    go-module     
google.golang.org/protobuf                                                                                            v1.27.1                                    go-module     
google.golang.org/protobuf                                                                                            v1.28.0                                    go-module     
gopkg.in/inf.v0                                                                                                       v0.9.1                                     go-module     
gopkg.in/ini.v1                                                                                                       v1.66.2                                    go-module     
gopkg.in/src-d/go-billy.v4                                                                                            v4.3.2                                     go-module     
gopkg.in/src-d/go-git.v4                                                                                              v4.13.1                                    go-module     
gopkg.in/warnings.v0                                                                                                  v0.1.2                                     go-module     
gopkg.in/yaml.v2                                                                                                      v2.2.8                                     go-module     
gopkg.in/yaml.v2                                                                                                      v2.4.0                                     go-module     
