NAME                                                                                                                  VERSION                                    TYPE         
findutils                                                                                                             4.7.0-1ubuntu1                             deb           
fontconfig-config                                                                                                     2.13.1-2ubuntu3                            deb           
fonts-dejavu-core                                                                                                     2.37-1                                     deb           
fonts-dejavu-extra                                                                                                    2.37-1                                     deb           
futures                                                                                                               3.2.0                                      python        
g++-9                                                                                                                 9.4.0-1ubuntu1~20.04.1                     deb           
gcc-10-base                                                                                                           10.3.0-1ubuntu1~20.04                      deb           
gcc-9                                                                                                                 9.4.0-1ubuntu1~20.04.1                     deb           
gcc-9-base                                                                                                            9.4.0-1ubuntu1~20.04.1                     deb           
gir1.2-glib-2.0                                                                                                       1.64.1-1~ubuntu20.04.1                     deb           
gir1.2-packagekitglib-1.0                                                                                             1.1.13-2ubuntu1.1                          deb           
git                                                                                                                   1:2.36.1-0ppa1~ubuntu20.04.1               deb           
git-man                                                                                                               1:2.36.1-0ppa1~ubuntu20.04.1               deb           
github.com/AlecAivazis/survey/v2                                                                                      v2.2.15                                    go-module     
github.com/Azure/azure-sdk-for-go                                                                                     v55.8.0+incompatible                       go-module     
github.com/Azure/go-autorest/autorest                                                                                 v0.11.18                                   go-module     
github.com/Azure/go-autorest/autorest                                                                                 v0.11.19                                   go-module     
github.com/Azure/go-autorest/autorest                                                                                 v0.11.21                                   go-module     
github.com/Azure/go-autorest/autorest/adal                                                                            v0.9.13                                    go-module     
github.com/Azure/go-autorest/autorest/adal                                                                            v0.9.16                                    go-module     
github.com/Azure/go-autorest/autorest/azure/auth                                                                      v0.5.8                                     go-module     
github.com/Azure/go-autorest/autorest/azure/cli                                                                       v0.4.2                                     go-module     
github.com/Azure/go-autorest/autorest/date                                                                            v0.3.0                                     go-module     
github.com/Azure/go-autorest/logger                                                                                   v0.2.1                                     go-module     
github.com/Azure/go-autorest/tracing                                                                                  v0.6.0                                     go-module     
github.com/BurntSushi/toml                                                                                            v0.3.1                                     go-module     
github.com/BurntSushi/toml                                                                                            v0.4.1                                     go-module     
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric                                            v0.20.0                                    go-module     
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/trace                                             v0.20.0                                    go-module     
github.com/GoogleContainerTools/kpt                                                                                   (devel)                                    go-module     
